trade_num,equity,rolling_win_rate_30
1,96.99,0.0
2,95.7,0.0
3,99.37,0.333
4,96.78,0.25
5,105.4,0.4
6,104.1,0.333
7,106.98,0.429
8,111.51,0.5
9,121.45,0.556
10,130.3,0.6
11,129.05,0.545
12,127.78,0.5
13,124.78,0.462
14,120.53,0.429
15,122.41,0.467
16,117.11,0.438
17,118.17,0.471
18,120.47,0.5
19,126.9,0.526
20,125.45,0.5
21,124.41,0.476
22,122.61,0.455
23,118.47,0.435
24,122.99,0.458
25,130.27,0.48
26,126.67,0.462
27,123.22,0.444
28,117.06,0.429
29,126.18,0.448
30,137.42,0.467
31,149.65,0.5
32,157.07,0.533
33,163.22,0.533
34,155.06,0.533
35,166.03,0.533
36,157.73,0.533
37,153.96,0.5
38,157.33,0.5
39,164.71,0.5
40,156.47,0.467
41,148.65,0.467
42,146.2,0.467
43,140.37,0.467
44,139.24,0.467
45,145.69,0.467
46,140.47,0.467
47,146.29,0.467
48,159.31,0.467
49,173.5,0.467
50,188.17,0.5
51,178.76,0.5
52,193.73,0.533
53,187.73,0.533
54,188.64,0.533
55,191.89,0.533
56,208.97,0.567
57,227.58,0.6
58,244.24,0.633
59,240.88,0.6
60,262.32,0.6
61,255.82,0.567
62,244.7,0.533
63,238.82,0.5
64,240.88,0.533
65,238.81,0.5
66,242.08,0.533
67,243.11,0.567
68,234.92,0.533
69,232.71,0.5
70,229.41,0.5
71,217.94,0.5
72,213.74,0.5
73,232.77,0.533
74,236.14,0.567
75,224.33,0.533
76,240.22,0.567
77,230.01,0.533
78,218.51,0.5
79,215.73,0.467
80,211.78,0.433
81,206.16,0.433
82,203.09,0.4
83,206.98,0.433
84,201.4,0.4
85,199.59,0.367
86,208.21,0.367
87,203.95,0.333
88,209.76,0.333
89,212.6,0.367
90,211.57,0.333
91,210.11,0.333
92,225.99,0.367
93,220.89,0.367
94,235.47,0.367
95,241.23,0.4
96,244.06,0.4
97,247.28,0.4
98,249.61,0.433
99,248.23,0.433
100,253.65,0.467
101,240.97,0.467
102,228.92,0.467
103,218.2,0.433
104,237.63,0.433
105,239.2,0.467
106,244.09,0.467
107,247.65,0.5
108,249.27,0.533
109,253.26,0.567
110,250.36,0.567
111,255.0,0.6
112,264.83,0.633
113,252.19,0.6
114,243.39,0.6
115,237.38,0.6
116,245.83,0.6
117,247.99,0.633
118,244.21,0.6
119,232.0,0.567
120,230.64,0.567
121,249.18,0.6
122,240.48,0.567
123,236.23,0.567
124,233.39,0.533
125,235.79,0.533
126,224.0,0.5
127,218.85,0.467
128,216.82,0.433
129,213.08,0.433
130,210.75,0.4
131,215.07,0.433
132,211.78,0.433
133,207.98,0.433
134,210.97,0.433
135,205.67,0.4
136,208.69,0.4
137,198.26,0.367
138,199.76,0.367
139,208.4,0.367
140,217.98,0.4
141,215.53,0.367
142,218.76,0.367
143,217.33,0.367
144,211.5,0.367
145,215.75,0.4
146,209.94,0.367
147,213.22,0.367
148,214.82,0.4
149,216.11,0.433
150,211.41,0.433
151,205.62,0.4
152,210.59,0.433
