vwap_dev,side_dev,adx_thresh,min_atr,trades,win_rate,pnl,sharpe,score
0.002,0.001,25,0.002,95,57.9,67.95,3.0,2.924
0.002,0.001,20,0.002,95,57.9,67.95,3.0,2.924
0.003,0.001,20,0.002,95,57.9,67.95,3.0,2.924
0.003,0.001,25,0.002,95,57.9,67.95,3.0,2.924
0.005,0.001,20,0.002,95,57.9,67.95,3.0,2.924
0.005,0.001,25,0.002,95,57.9,67.95,3.0,2.924
0.003,0.003,20,0.002,84,58.3,64.85,3.08,2.823
0.003,0.003,25,0.002,84,58.3,64.85,3.08,2.823
0.002,0.003,25,0.002,84,58.3,64.85,3.08,2.823
0.002,0.003,20,0.002,84,58.3,64.85,3.08,2.823
0.005,0.003,25,0.002,84,58.3,64.85,3.08,2.823
0.005,0.003,20,0.002,84,58.3,64.85,3.08,2.823
0.002,0.001,30,0.002,96,57.3,59.58,2.72,2.665
0.003,0.001,30,0.002,96,57.3,59.58,2.72,2.665
0.001,0.001,20,0.002,96,57.3,59.55,2.72,2.665
0.001,0.001,25,0.002,96,57.3,59.55,2.72,2.665
0.005,0.001,30,0.002,96,57.3,59.58,2.72,2.665
0.002,0.003,30,0.002,85,57.6,56.63,2.78,2.563
0.003,0.003,30,0.002,85,57.6,56.63,2.78,2.563
0.005,0.003,30,0.002,85,57.6,56.63,2.78,2.563
0.001,0.003,25,0.002,85,57.6,56.6,2.78,2.563
0.001,0.003,20,0.002,85,57.6,56.6,2.78,2.563
0.003,0.002,20,0.002,88,56.8,53.34,2.6,2.439
0.002,0.002,25,0.002,88,56.8,53.34,2.6,2.439
0.002,0.002,20,0.002,88,56.8,53.34,2.6,2.439
0.005,0.002,25,0.002,88,56.8,53.34,2.6,2.439
0.003,0.002,25,0.002,88,56.8,53.34,2.6,2.439
0.005,0.002,20,0.002,88,56.8,53.34,2.6,2.439
0.001,0.001,30,0.002,97,56.7,51.6,2.45,2.413
0.001,0.003,30,0.002,86,57.0,48.79,2.49,2.309
0.001,0.002,25,0.002,89,56.2,45.67,2.32,2.189
0.005,0.002,30,0.002,89,56.2,45.7,2.32,2.189
0.003,0.002,30,0.002,89,56.2,45.7,2.32,2.189
0.002,0.002,30,0.002,89,56.2,45.7,2.32,2.189
0.001,0.002,20,0.002,89,56.2,45.67,2.32,2.189
0.005,0.003,25,0.003,54,59.3,43.38,2.71,1.991
0.003,0.003,25,0.003,54,59.3,43.38,2.71,1.991
0.005,0.003,20,0.003,54,59.3,43.38,2.71,1.991
0.002,0.003,20,0.003,54,59.3,43.38,2.71,1.991
0.002,0.003,25,0.003,54,59.3,43.38,2.71,1.991
0.003,0.003,20,0.003,54,59.3,43.38,2.71,1.991
0.001,0.002,30,0.002,90,55.6,38.41,2.05,1.945
0.002,0.002,25,0.003,57,57.9,37.95,2.38,1.797
0.002,0.002,20,0.003,57,57.9,37.95,2.38,1.797
0.003,0.002,20,0.003,57,57.9,37.95,2.38,1.797
0.005,0.002,20,0.003,57,57.9,37.95,2.38,1.797
0.003,0.002,25,0.003,57,57.9,37.95,2.38,1.797
0.005,0.002,25,0.003,57,57.9,37.95,2.38,1.797
0.005,0.003,30,0.003,55,58.2,36.23,2.33,1.728
0.003,0.003,30,0.003,55,58.2,36.23,2.33,1.728
0.001,0.003,25,0.003,55,58.2,36.2,2.33,1.728
0.002,0.003,30,0.003,55,58.2,36.23,2.33,1.728
0.001,0.003,20,0.003,55,58.2,36.2,2.33,1.728
0.002,0.001,25,0.003,58,56.9,33.06,2.13,1.622
0.005,0.001,20,0.003,58,56.9,33.06,2.13,1.622
0.005,0.001,25,0.003,58,56.9,33.06,2.13,1.622
0.003,0.001,25,0.003,58,56.9,33.06,2.13,1.622
0.003,0.001,20,0.003,58,56.9,33.06,2.13,1.622
0.002,0.001,20,0.003,58,56.9,33.06,2.13,1.622
0.003,0.002,30,0.003,58,56.9,31.07,2.03,1.546
0.001,0.002,20,0.003,58,56.9,31.05,2.03,1.546
0.001,0.002,25,0.003,58,56.9,31.05,2.03,1.546
0.002,0.002,30,0.003,58,56.9,31.07,2.03,1.546
0.005,0.002,30,0.003,58,56.9,31.07,2.03,1.546
0.005,0.001,25,0.004,40,60.0,33.15,2.42,1.531
0.005,0.001,20,0.004,40,60.0,33.15,2.42,1.531
0.002,0.001,25,0.004,40,60.0,33.15,2.42,1.531
0.002,0.001,20,0.004,40,60.0,33.15,2.42,1.531
0.003,0.001,25,0.004,40,60.0,33.15,2.42,1.531
0.003,0.001,20,0.004,40,60.0,33.15,2.42,1.531
0.002,0.002,20,0.004,40,60.0,32.4,2.38,1.505
0.002,0.002,25,0.004,40,60.0,32.4,2.38,1.505
0.003,0.002,25,0.004,40,60.0,32.4,2.38,1.505
0.003,0.002,20,0.004,40,60.0,32.4,2.38,1.505
0.005,0.002,20,0.004,40,60.0,32.4,2.38,1.505
0.005,0.002,25,0.004,40,60.0,32.4,2.38,1.505
0.001,0.003,30,0.003,56,57.1,29.41,1.97,1.474
0.005,0.001,30,0.003,59,55.9,26.43,1.78,1.367
0.002,0.001,30,0.003,59,55.9,26.43,1.78,1.367
0.003,0.001,30,0.003,59,55.9,26.43,1.78,1.367
0.001,0.001,25,0.003,59,55.9,26.4,1.78,1.367
0.001,0.001,20,0.003,59,55.9,26.4,1.78,1.367
0.003,0.003,25,0.004,39,59.0,27.77,2.14,1.336
0.005,0.003,25,0.004,39,59.0,27.77,2.14,1.336
0.002,0.003,20,0.004,39,59.0,27.77,2.14,1.336
0.002,0.003,25,0.004,39,59.0,27.77,2.14,1.336
0.003,0.003,20,0.004,39,59.0,27.77,2.14,1.336
0.005,0.003,20,0.004,39,59.0,27.77,2.14,1.336
0.001,0.002,30,0.003,59,55.9,24.52,1.69,1.298
0.001,0.001,25,0.004,41,58.5,26.48,2.0,1.281
0.001,0.001,20,0.004,41,58.5,26.48,2.0,1.281
0.002,0.001,30,0.004,41,58.5,26.51,2.0,1.281
0.005,0.001,30,0.004,41,58.5,26.51,2.0,1.281
0.003,0.001,30,0.004,41,58.5,26.51,2.0,1.281
0.002,0.002,30,0.004,41,58.5,25.8,1.97,1.261
0.003,0.002,30,0.004,41,58.5,25.8,1.97,1.261
0.005,0.002,30,0.004,41,58.5,25.8,1.97,1.261
0.001,0.002,20,0.004,41,58.5,25.77,1.96,1.255
0.001,0.002,25,0.004,41,58.5,25.77,1.96,1.255
0.001,0.001,30,0.003,60,55.0,20.1,1.45,1.123
0.001,0.003,20,0.004,40,57.5,21.39,1.72,1.088
0.002,0.003,30,0.004,40,57.5,21.4,1.72,1.088
0.003,0.003,30,0.004,40,57.5,21.4,1.72,1.088
0.001,0.003,25,0.004,40,57.5,21.39,1.72,1.088
0.005,0.003,30,0.004,40,57.5,21.4,1.72,1.088
0.001,0.001,30,0.004,42,57.1,20.18,1.6,1.037
0.001,0.002,30,0.004,42,57.1,19.5,1.56,1.011
0.001,0.003,30,0.004,41,56.1,15.34,1.32,0.845
