vwap_dev,orb_hours,trades,win_rate,pnl,sharpe,score
0.005,"[8, 13, 20]",89,52.8,4.88,0.67,0.632
0.003,"[8, 13, 20]",122,51.6,-6.47,0.3,0.331
0.002,"[8, 13, 20]",140,51.4,-10.15,0.21,0.248
0.008,"[8, 13, 20]",68,51.5,-3.91,0.21,0.173
0.004,"[8, 13, 20]",98,51.0,-11.04,0.0,0.0
0.008,[13],10,50.0,-1.72,-0.07,-0.022
0.005,[8],10,50.0,-2.75,-0.21,-0.066
0.003,[8],18,50.0,-4.28,-0.21,-0.089
0.008,"[8, 13]",13,46.2,-7.29,-0.68,-0.245
0.005,[13],17,47.1,-8.22,-0.64,-0.264
0.003,[13],29,48.3,-10.89,-0.61,-0.328
0.005,"[8, 13]",27,48.1,-10.75,-0.64,-0.333
0.002,[13],39,48.7,-12.52,-0.57,-0.356
0.001,[13],49,49.0,-14.55,-0.57,-0.399
0.003,"[8, 13]",47,48.9,-14.75,-0.62,-0.425
0.004,[8],12,41.7,-12.25,-1.41,-0.488
0.002,[8],22,45.5,-14.27,-1.12,-0.525
0.001,"[8, 13, 20]",168,50.0,-30.31,-0.5,-0.648
0.004,[13],21,42.9,-17.53,-1.5,-0.687
0.002,"[8, 13]",61,47.5,-25.08,-1.13,-0.883
0.004,"[8, 13]",33,42.4,-27.61,-2.04,-1.172
0.001,[8],38,42.1,-31.81,-2.26,-1.393
0.001,"[8, 13]",87,46.0,-41.79,-1.91,-1.782
