sim_num,final_bankroll,roi_pct
1,210.54,110.5
2,210.57,110.6
3,210.53,110.5
4,210.62,110.6
5,210.63,110.6
6,210.57,110.6
7,210.57,110.6
8,210.62,110.6
9,210.57,110.6
10,210.62,110.6
11,210.64,110.6
12,210.46,110.5
13,210.59,110.6
14,210.67,110.7
15,210.52,110.5
16,210.49,110.5
17,210.55,110.6
18,210.62,110.6
19,210.52,110.5
20,210.66,110.7
21,210.53,110.5
22,210.6,110.6
23,210.74,110.7
24,210.57,110.6
25,210.56,110.6
26,210.54,110.5
27,210.62,110.6
28,210.58,110.6
29,210.61,110.6
30,210.67,110.7
31,210.6,110.6
32,210.71,110.7
33,210.65,110.7
34,210.67,110.7
35,210.53,110.5
36,210.59,110.6
37,210.61,110.6
38,210.6,110.6
39,210.6,110.6
40,210.54,110.5
41,210.57,110.6
42,210.52,110.5
43,210.58,110.6
44,210.61,110.6
45,210.85,110.9
46,210.58,110.6
47,210.6,110.6
48,210.55,110.6
49,210.62,110.6
50,210.53,110.5
51,210.64,110.6
52,210.72,110.7
53,210.62,110.6
54,210.69,110.7
55,210.66,110.7
56,210.61,110.6
57,210.62,110.6
58,210.5,110.5
59,210.63,110.6
60,210.55,110.6
61,210.58,110.6
62,210.6,110.6
63,210.63,110.6
64,210.52,110.5
65,210.59,110.6
66,210.59,110.6
67,210.64,110.6
68,210.58,110.6
69,210.59,110.6
70,210.49,110.5
71,210.65,110.7
72,210.69,110.7
73,210.72,110.7
74,210.57,110.6
75,210.57,110.6
76,210.56,110.6
77,210.62,110.6
78,210.69,110.7
79,210.62,110.6
80,210.56,110.6
81,210.61,110.6
82,210.54,110.5
83,210.71,110.7
84,210.61,110.6
85,210.56,110.6
86,210.6,110.6
87,210.67,110.7
88,210.65,110.7
89,210.67,110.7
90,210.65,110.7
91,210.59,110.6
92,210.67,110.7
93,210.53,110.5
94,210.57,110.6
95,210.66,110.7
96,210.48,110.5
97,210.59,110.6
98,210.57,110.6
99,210.63,110.6
100,210.53,110.5
101,210.6,110.6
102,210.61,110.6
103,210.61,110.6
104,210.61,110.6
105,210.57,110.6
106,210.61,110.6
107,210.59,110.6
108,210.57,110.6
109,210.54,110.5
110,210.6,110.6
111,210.56,110.6
112,210.57,110.6
113,210.64,110.6
114,210.68,110.7
115,210.65,110.7
116,210.63,110.6
117,210.64,110.6
118,210.59,110.6
119,210.57,110.6
120,210.58,110.6
121,210.6,110.6
122,210.63,110.6
123,210.57,110.6
124,210.6,110.6
125,210.5,110.5
126,210.58,110.6
127,210.55,110.6
128,210.56,110.6
129,210.56,110.6
130,210.56,110.6
131,210.6,110.6
132,210.62,110.6
133,210.57,110.6
134,210.55,110.6
135,210.49,110.5
136,210.52,110.5
137,210.58,110.6
138,210.66,110.7
139,210.55,110.6
140,210.61,110.6
141,210.65,110.7
142,210.61,110.6
143,210.58,110.6
144,210.62,110.6
145,210.5,110.5
146,210.59,110.6
147,210.61,110.6
